s,gap,joint,deltaA,deltaB,frame_overlap,corner_weight
0.0,0.2152054349311618,0.002839964875413207,1.8202932104138427,1.6268694313683332,0.9991972496882852,0.5675240611418931
0.008333333333333333,0.22219517595872218,0.0023083177712007142,1.8299122744066678,1.6318652529787134,0.999118597914527,0.575059727493937
0.016666666666666666,0.2103510965601353,0.0017826587455869467,1.8389516802632868,1.6384292247657053,0.9990572375744177,0.5839661748561292
0.025,0.1919040348282467,0.0013637110821991315,1.8474223104194674,1.6461746200136012,0.9990227952426983,0.5939823587113792
0.03333333333333333,0.17252061091283072,0.001184990746261458,1.8553010459201917,1.6545727363319505,0.9990207424163945,0.6047433527877323
0.041666666666666664,0.15360761324977829,0.001367574714449755,1.862530372236281,1.662973111072851,0.9990507125041728,0.6158144879479035
0.05,0.1354545514597434,0.0018441893631047862,1.8690141100888618,1.6706133762556594,0.9991067931135184,0.6267330196104174
0.058333333333333334,0.11816818146461494,0.002508277367685667,1.8745892903971288,1.6765913800007808,0.9991795515417762,0.6370414976367604
0.06666666666666667,0.10181430746082942,0.0033312896103463332,1.8789034673474134,1.6797690113538672,0.9991952510649477,0.6462975495245096
0.075,0.08646178668380777,0.004335565288836039,1.8809057871771475,1.678579251531834,0.9988613449128781,0.6540503862801801
0.08333333333333333,0.07223667525423616,0.005563867995532233,1.8775417794930371,1.6707263209244398,0.9983112538460115,0.6597825555145667
0.09166666666666666,0.059373886542122056,0.007059907626982544,1.865465486289482,1.6528640797433285,0.9974552717002824,0.6628320162051674
0.1,0.04816938696756201,0.008849005445735466,1.843449194118202,1.6206910017071965,0.9963151876115873,0.6623622550225791
0.10833333333333334,0.03887219700222244,0.010899382256305745,1.8086120084827733,1.570733591222186,0.9952812562509213,0.657577398785674
0.11666666666666667,0.031616860014443526,0.013159232070526461,1.7574380605328366,1.5055117968608096,0.9951081490252042,0.6484634167004146
0.125,0.026385458135033235,0.01563886493162576,1.6892749616636784,1.4397946834298523,0.9959985053430848,0.636767348997747
0.13333333333333333,0.02301977727806892,0.018124354963628707,1.6079019252284112,1.3981990034154075,0.9968991337036799,0.6257945755171468
0.14166666666666666,0.021341461803149664,0.019896606295937508,1.5205547536043222,1.4015880429511292,0.9965599479206982,0.6186686135779826
0.15,0.021329410021323714,0.020459524071737616,1.4403644157394182,1.4553206978084163,0.9948932650825173,0.617065737808479
0.15833333333333333,0.023224590581456872,0.019980898868005456,1.389850880383828,1.5454010172641965,0.9932155726785991,0.6209832648710311
0.16666666666666666,0.02747071736400042,0.018494021619720004,1.3888660712336516,1.6432998871738047,0.993022806439058,0.628487248422445
0.175,0.034485166697539316,0.01610528892617125,1.4310872707050313,1.7232414043399773,0.9943061273846945,0.6361879214550837
0.18333333333333332,0.04442869750169298,0.013433332026232984,1.4885678815437942,1.7769802726165334,0.995978989720064,0.6412689291017031
0.19166666666666665,0.05717763591510072,0.010955162372073569,1.5395236597234279,1.80963751303929,0.9973210237836632,0.6428322107436435
0.2,0.07245427818094174,0.008819003478946263,1.5777495947160027,1.8288661193847657,0.998213115499494,0.6412982012607648
0.20833333333333334,0.08995050433270169,0.0070116900435682455,1.605314602286085,1.840115921761425,0.9987637890218076,0.6374159580120002
0.21666666666666667,0.10938222859352542,0.0054685221333969705,1.6259395678367925,1.8465127898353715,0.9988963215783164,0.6318409641702203
0.225,0.13048783508419648,0.00412558929636264,1.6426117867638197,1.8497361216906545,0.9988307079484533,0.6251028450955116
0.23333333333333334,0.15296708416351107,0.002955869191369213,1.6572729250339857,1.8506843255234326,0.9988069865791341,0.6176723408729977
0.24166666666666667,0.1761611345454071,0.002038515855073236,1.67105969521745,1.8498470856354339,0.9988297793024348,0.6100042915316465
0.25,0.1941833387979851,0.0017144844326048025,1.684577939137685,1.8474979595477619,0.9988935140780774,0.602532050495149
0.2583333333333333,0.18468575443686852,0.002191827778512831,1.6605812298539235,1.8437933381258804,0.9989846765048731,0.59562881101828
0.26666666666666666,0.17076491253921766,0.0030912756843164886,1.6386014653820375,1.8388247372241269,0.9990870177396245,0.5895644893498557
0.275,0.1578725561423786,0.004103199320636408,1.6192224097119228,1.8326488710020596,0.9991867017863166,0.5844819671623265
0.2833333333333333,0.1464561451602387,0.005126269493911829,1.6027710940975797,1.8253085533548248,0.9992751636124901,0.5804011535702642
0.2916666666666667,0.13656434479346535,0.006121407733226501,1.589354144525881,1.8168511393502889,0.9993493567189038,0.5772448419038563
0.3,0.12815912334515556,0.007066150985806262,1.5789236472836983,1.807346914773666,0.9994103249941133,0.5748740832407347
0.30833333333333335,0.12118023761521046,0.007942262719261906,1.5713470630523716,1.7969064163277868,0.9994611971737543,0.5731222581973927
0.31666666666666665,0.11556336185739946,0.008732161813755773,1.5664658114859487,1.7856929497787821,0.9995053317268605,0.5718216816631461
0.325,0.11124313375217115,0.009418436712271439,1.5641364858475935,1.7739251345124947,0.9995449877111293,0.570820804533999
0.3333333333333333,0.10814723788956876,0.009984788881243737,1.564253937573755,1.7618651503776208,0.9995807068978895,0.5699926748962082
0.3416666666666667,0.10617596933507811,0.010417611930268465,1.5667571880875384,1.7497920888055583,0.9995896770557926,0.5692365718755098
